DATASET_HEATMAP
SEPARATOR,COMMA
GORG_SAMEA6069970_SAGS_AG893K07,94.55
GORG_SAMEA6069971_SAGS_AG893K09,95.24
GORG_SAMEA6069972_SAGS_AG893K11,91.46
GORG_SAMEA6069979_SAGS_AG893K23,86.72
GORG_SAMEA6069983_SAGS_AG893L06,84.38
GORG_SAMEA6069984_SAGS_AG893L07,80.28
GORG_SAMEA6069985_SAGS_AG893L08,78.74
GORG_SAMEA6069987_SAGS_AG893L10,80.9
GORG_SAMEA6069988_SAGS_AG893L13,85.29
GORG_SAMEA6069996_SAGS_AG893M03,86.42
GORG_SAMEA6070004_SAGS_AG893M17,89.56
GORG_SAMEA6070007_SAGS_AG893M20,87.38
GORG_SAMEA6070009_SAGS_AG893M22,86.72
GORG_SAMEA6070013_SAGS_AG893N07,84.14
GORG_SAMEA6070019_SAGS_AG893N18,83.18
GORG_SAMEA6070020_SAGS_AG893N20,76.64
GORG_SAMEA6070021_SAGS_AG893N22,81.03
GORG_SAMEA6070025_SAGS_AG893O06,86.18
GORG_SAMEA6070032_SAGS_AG893O16,77.37
GORG_SAMEA6070038_SAGS_AG893P02,89
GORG_SAMEA6070040_SAGS_AG893P05,92.48
GORG_SAMEA6070044_SAGS_AG893P10,83.9
GORG_SAMEA6070058_SAGS_AG894A06,78.13
GORG_SAMEA6070060_SAGS_AG894A09,82.09
GORG_SAMEA6070062_SAGS_AG894A11,88.53
GORG_SAMEA6070064_SAGS_AG894A16,90.21
GORG_SAMEA6070066_SAGS_AG894A18,75.06
GORG_SAMEA6070073_SAGS_AG894B06,91.84
GORG_SAMEA6070074_SAGS_AG894B07,89.7
GORG_SAMEA6070075_SAGS_AG894B09,77.09
GORG_SAMEA6070077_SAGS_AG894B13,76.35
GORG_SAMEA6070082_SAGS_AG894B21,85.11
GORG_SAMEA6070086_SAGS_AG894C03,75.27
GORG_SAMEA6070093_SAGS_AG894C10,84.2
GORG_SAMEA6070094_SAGS_AG894C11,82.44
GORG_SAMEA6070095_SAGS_AG894C14,96.09
GORG_SAMEA6070105_SAGS_AG894D05,77.77
GORG_SAMEA6070115_SAGS_AG894D22,84.01
GORG_SAMEA6070117_SAGS_AG894E05,78.63
GORG_SAMEA6070120_SAGS_AG894E10,90.5
GORG_SAMEA6070127_SAGS_AG894F03,75.67
GORG_SAMEA6070132_SAGS_AG894F15,86.9
GORG_SAMEA6070137_SAGS_AG894F20,77.91
GORG_SAMEA6070140_SAGS_AG894F23,78.53
GORG_SAMEA6070151_SAGS_AG894G16,82.41
GORG_SAMEA6070153_SAGS_AG894G18,77.54
GORG_SAMEA6070155_SAGS_AG894G20,89.26
GORG_SAMEA6070157_SAGS_AG894G22,83.91
GORG_SAMEA6070159_SAGS_AG894I02,77.15
GORG_SAMEA6070162_SAGS_AG894I05,80.97
GORG_SAMEA6070163_SAGS_AG894I06,88.9
GORG_SAMEA6070164_SAGS_AG894I07,76.88
GORG_SAMEA6070173_SAGS_AG894I22,84.3
GORG_SAMEA6070175_SAGS_AG894J02,80.24
GORG_SAMEA6070177_SAGS_AG894J05,78.88
GORG_SAMEA6070187_SAGS_AG894K10,83.43
GORG_SAMEA6070189_SAGS_AG894K14,83.32
GORG_SAMEA6070190_SAGS_AG894K15,77.46
GORG_SAMEA6070193_SAGS_AG894K20,87.55
GORG_SAMEA6070202_SAGS_AG894L13,93.08
GORG_SAMEA6070205_SAGS_AG894L16,81.15
GORG_SAMEA6070206_SAGS_AG894L17,85.78
GORG_SAMEA6070207_SAGS_AG894L18,78.65
GORG_SAMEA6070208_SAGS_AG894L19,88.74
GORG_SAMEA6070209_SAGS_AG894L20,94.16
GORG_SAMEA6070216_SAGS_AG894M09,95.36
GORG_SAMEA6070225_SAGS_AG894M20,78.64
GORG_SAMEA6070230_SAGS_AG894N05,94.7
GORG_SAMEA6070235_SAGS_AG894N13,89.6
GORG_SAMEA6070236_SAGS_AG894N17,76.44
GORG_SAMEA6070240_SAGS_AG894O02,86.96
GORG_SAMEA6070241_SAGS_AG894O04,92.07
GORG_SAMEA6070242_SAGS_AG894O05,86.48
GORG_SAMEA6070245_SAGS_AG894O08,81.06
GORG_SAMEA6070246_SAGS_AG894O09,89.03
GORG_SAMEA6070249_SAGS_AG894O14,80
GORG_SAMEA6070258_SAGS_AG894P05,89.28
GORG_SAMEA6070262_SAGS_AG894P10,79.62
GORG_SAMEA6070264_SAGS_AG894P13,93.74
GORG_SAMEA6070265_SAGS_AG894P14,77.07
GORG_SAMEA6070268_SAGS_AG894P17,79.99
GORG_SAMEA6070269_SAGS_AG894P18,78.61
GORG_SAMEA6070272_SAGS_AG894P23,83.38
GORG_SAMEA6070275_SAGS_AG895A09,85.39
GORG_SAMEA6070276_SAGS_AG895A10,81.76
GORG_SAMEA6070285_SAGS_AG895B06,82.26
GORG_SAMEA6070294_SAGS_AG895B19,82.13
GORG_SAMEA6070295_SAGS_AG895B20,88.56
GORG_SAMEA6070304_SAGS_AG895C20,89.98
GORG_SAMEA6070309_SAGS_AG895D04,79.26
GORG_SAMEA6070310_SAGS_AG895D05,92.51
GORG_SAMEA6070313_SAGS_AG895D09,75.36
GORG_SAMEA6070321_SAGS_AG895E03,87.8
GORG_SAMEA6070324_SAGS_AG895E07,84.8
GORG_SAMEA6070327_SAGS_AG895E15,87.26
GORG_SAMEA6070340_SAGS_AG895F07,86.9
GORG_SAMEA6070345_SAGS_AG895F17,90.2
GORG_SAMEA6070347_SAGS_AG895F20,81.33
GORG_SAMEA6070354_SAGS_AG895G15,80.18
GORG_SAMEA6070357_SAGS_AG895G19,76.71
GORG_SAMEA6070376_SAGS_AG895J06,81.28
GORG_SAMEA6070381_SAGS_AG895J15,88.02
GORG_SAMEA6070382_SAGS_AG895J17,78.96
GORG_SAMEA6070384_SAGS_AG895J19,91.28
GORG_SAMEA6070394_SAGS_AG895K10,88.39
GORG_SAMEA6070402_SAGS_AG895L02,79.76
GORG_SAMEA6070406_SAGS_AG895L13,77.28
GORG_SAMEA6070411_SAGS_AG895L21,75.9
GORG_SAMEA6070412_SAGS_AG895L23,90.55
GORG_SAMEA6070422_SAGS_AG895M18,82.22
GORG_SAMEA6070424_SAGS_AG895M21,84.98
GORG_SAMEA6070441_SAGS_AG895O02,77.53
GORG_SAMEA6070449_SAGS_AG895O16,76.33
GORG_SAMEA6070451_SAGS_AG895O19,75.56
GORG_SAMEA6070452_SAGS_AG895O20,80.02
GORG_SAMEA6070472_SAGS_AG896A02,95.32
GORG_SAMEA6070473_SAGS_AG896A03,86.57
GORG_SAMEA6070481_SAGS_AG896A16,85.46
GORG_SAMEA6070502_SAGS_AG896C18,80.88
GORG_SAMEA6070511_SAGS_AG896D15,82.34
GORG_SAMEA6070522_SAGS_AG896E11,86.84
GORG_SAMEA6070529_SAGS_AG896E23,83.46
GORG_SAMEA6070537_SAGS_AG896F13,90.14
GORG_SAMEA6070550_SAGS_AG896G07,85.45
GORG_SAMEA6070561_SAGS_AG896G23,87.26
GORG_SAMEA6070563_SAGS_AG896I03,78.76
GORG_SAMEA6070578_SAGS_AG896J04,78.08
GORG_SAMEA6070595_SAGS_AG896K10,90.82
GORG_SAMEA6070596_SAGS_AG896K13,75.84
GORG_SAMEA6070613_SAGS_AG896L17,79.91
GORG_SAMEA6070616_SAGS_AG896L20,82.85
GORG_SAMEA6070620_SAGS_AG896M03,82.29
GORG_SAMEA6070621_SAGS_AG896M04,83.4
GORG_SAMEA6070622_SAGS_AG896M05,81.97
GORG_SAMEA6070624_SAGS_AG896M10,78.25
GORG_SAMEA6070638_SAGS_AG896N14,82.56
GORG_SAMEA6070650_SAGS_AG896O16,81.26
GORG_SAMEA6070651_SAGS_AG896O18,82.98
GORG_SAMEA6070655_SAGS_AG896O22,75.78
GORG_SAMEA6070681_SAGS_AG897B03,90.7
GORG_SAMEA6070695_SAGS_AG897D06,77.56
GORG_SAMEA6070697_SAGS_AG897D08,78.21
GORG_SAMEA6070702_SAGS_AG897D19,76.49
GORG_SAMEA6070706_SAGS_AG897E09,90.59
GORG_SAMEA6070712_SAGS_AG897E21,79.68
GORG_SAMEA6070717_SAGS_AG897F14,79.76
GORG_SAMEA6070722_SAGS_AG897G09,88.48
GORG_SAMEA6070726_SAGS_AG897G15,90.3
GORG_SAMEA6070728_SAGS_AG897G20,87.86
GORG_SAMEA6070729_SAGS_AG897G22,86.88
GORG_SAMEA6070784_SAGS_AG897N19,77.9
GORG_SAMEA6070789_SAGS_AG897O11,81.28
GORG_SAMEA6070791_SAGS_AG897O16,87.62
GORG_SAMEA6070797_SAGS_AG897P03,87.92
GORG_SAMEA6070806_SAGS_AG898A03,79.68
GORG_SAMEA6070810_SAGS_AG898A08,83.66
GORG_SAMEA6070822_SAGS_AG898B02,79.67
GORG_SAMEA6070830_SAGS_AG898B16,77.84
GORG_SAMEA6070834_SAGS_AG898B20,88.54
GORG_SAMEA6070838_SAGS_AG898C07,88.45
GORG_SAMEA6070842_SAGS_AG898C15,75.06
GORG_SAMEA6070852_SAGS_AG898D09,78.19
GORG_SAMEA6070863_SAGS_AG898E05,77.32
GORG_SAMEA6070867_SAGS_AG898E11,80.6
GORG_SAMEA6070869_SAGS_AG898E17,78.72
GORG_SAMEA6070875_SAGS_AG898F03,79.78
GORG_SAMEA6070899_SAGS_AG898G21,84.74
GORG_SAMEA6070923_SAGS_AG898J13,80.29
GORG_SAMEA6070927_SAGS_AG898J17,85.71
GORG_SAMEA6070928_SAGS_AG898J19,83.07
GORG_SAMEA6070933_SAGS_AG898K03,79.04
GORG_SAMEA6070985_SAGS_AG898N21,78.96
GORG_SAMEA6070989_SAGS_AG898O03,76.65
GORG_SAMEA6071007_SAGS_AG898P13,80.68
GORG_SAMEA6071012_SAGS_AG898P18,78.72
GORG_SAMEA6071019_SAGS_AG899A06,85.52
GORG_SAMEA6071027_SAGS_AG899B02,87.24
GORG_SAMEA6071031_SAGS_AG899B09,86
GORG_SAMEA6071039_SAGS_AG899C06,76.84
GORG_SAMEA6071041_SAGS_AG899C09,88.88
GORG_SAMEA6071042_SAGS_AG899C10,89.9
GORG_SAMEA6071043_SAGS_AG899C14,75.01
GORG_SAMEA6071045_SAGS_AG899C17,75.07
GORG_SAMEA6071047_SAGS_AG899D02,84.32
GORG_SAMEA6071057_SAGS_AG899D19,89.9
GORG_SAMEA6071059_SAGS_AG899D22,77.43
GORG_SAMEA6071061_SAGS_AG899E03,78.67
GORG_SAMEA6071064_SAGS_AG899E08,80.49
GORG_SAMEA6071068_SAGS_AG899E14,94.9
GORG_SAMEA6071072_SAGS_AG899E18,80.39
GORG_SAMEA6071089_SAGS_AG899G02,82.32
GORG_SAMEA6071090_SAGS_AG899G03,86.06
GORG_SAMEA6071093_SAGS_AG899G06,88.66
GORG_SAMEA6071112_SAGS_AG899I09,89.93
GORG_SAMEA6071120_SAGS_AG899J02,87.24
GORG_SAMEA6071130_SAGS_AG899J15,79.92
GORG_SAMEA6071134_SAGS_AG899J22,76.89
GORG_SAMEA6071135_SAGS_AG899J23,81.29
GORG_SAMEA6071136_SAGS_AG899K02,86.36
GORG_SAMEA6071168_SAGS_AG899M02,77.84
GORG_SAMEA6071173_SAGS_AG899M07,89
GORG_SAMEA6071176_SAGS_AG899M13,84.46
GORG_SAMEA6071177_SAGS_AG899M14,81.21
GORG_SAMEA6071179_SAGS_AG899M17,83.24
GORG_SAMEA6071181_SAGS_AG899M19,85.74
GORG_SAMEA6071182_SAGS_AG899M20,88.82
GORG_SAMEA6071193_SAGS_AG899N21,85
GORG_SAMEA6071196_SAGS_AG899O02,80.76
GORG_SAMEA6071198_SAGS_AG899O04,93.16
GORG_SAMEA6071204_SAGS_AG899O13,79.45
GORG_SAMEA6071209_SAGS_AG899O20,76.3
GORG_SAMEA6071219_SAGS_AG899P08,84.74
GORG_SAMEA6071220_SAGS_AG899P09,80
GORG_SAMEA6071259_SAGS_AG900C07,78.82
GORG_SAMEA6071284_SAGS_AG900D23,83.71
GORG_SAMEA6071288_SAGS_AG900E06,86.1
GORG_SAMEA6071295_SAGS_AG900E18,79.12
GORG_SAMEA6071319_SAGS_AG900G06,75.47
GORG_SAMEA6071327_SAGS_AG900G16,90.94
GORG_SAMEA6071328_SAGS_AG900G19,78.08
GORG_SAMEA6071330_SAGS_AG900G22,82.6
GORG_SAMEA6071336_SAGS_AG900I13,95.8
GORG_SAMEA6071339_SAGS_AG900I16,86.42
GORG_SAMEA6071341_SAGS_AG900I19,94.54
GORG_SAMEA6071354_SAGS_AG900J21,75.82
GORG_SAMEA6071358_SAGS_AG900K04,75.74
GORG_SAMEA6071363_SAGS_AG900K11,80.28
GORG_SAMEA6071364_SAGS_AG900K14,89.78
GORG_SAMEA6071365_SAGS_AG900K16,90.9
GORG_SAMEA6071368_SAGS_AG900K21,92.72
GORG_SAMEA6071391_SAGS_AG900M14,86.62
GORG_SAMEA6071396_SAGS_AG900M23,81.98
GORG_SAMEA6071441_SAGS_AG901A07,83.06
GORG_SAMEA6071447_SAGS_AG901A19,79.32
GORG_SAMEA6071452_SAGS_AG901B05,78.06
GORG_SAMEA6071460_SAGS_AG901B17,81.88
GORG_SAMEA6071472_SAGS_AG901C10,83.96
GORG_SAMEA6071493_SAGS_AG901D23,86.54
GORG_SAMEA6071497_SAGS_AG901E05,84.64
GORG_SAMEA6071510_SAGS_AG901E23,91.77
GORG_SAMEA6071524_SAGS_AG901G03,86.66
GORG_SAMEA6071538_SAGS_AG901I06,75.44
GORG_SAMEA6071546_SAGS_AG901I21,90.3
GORG_SAMEA6071560_SAGS_AG901J22,76.69
GORG_SAMEA6071561_SAGS_AG901K05,84.12
GORG_SAMEA6071651_SAGS_AG903C04,77.12
GORG_SAMEA6071655_SAGS_AG903C11,81.03
GORG_SAMEA6071660_SAGS_AG903D02,87.86
GORG_SAMEA6071680_SAGS_AG903E10,75.36
GORG_SAMEA6071693_SAGS_AG903F09,86.87
GORG_SAMEA6071710_SAGS_AG903G09,77.46
GORG_SAMEA6071714_SAGS_AG903G18,80.21
GORG_SAMEA6071735_SAGS_AG903I23,80.86
GORG_SAMEA6071743_SAGS_AG903J17,75.91
GORG_SAMEA6071747_SAGS_AG903K07,90.5
GORG_SAMEA6071754_SAGS_AG903K21,76.54
GORG_SAMEA6071755_SAGS_AG903K22,80.91
GORG_SAMEA6071759_SAGS_AG903L07,91.48
GORG_SAMEA6071760_SAGS_AG903L08,79.52
GORG_SAMEA6071777_SAGS_AG903M21,85.12
GORG_SAMEA6071779_SAGS_AG903N02,85.29
GORG_SAMEA6071799_SAGS_AG903O08,85.82
GORG_SAMEA6071803_SAGS_AG903O18,78.09
GORG_SAMEA6071825_SAGS_AG904A06,83.43
GORG_SAMEA6071827_SAGS_AG904A08,88.56
GORG_SAMEA6071830_SAGS_AG904A13,83.96
GORG_SAMEA6071847_SAGS_AG904B17,77.04
GORG_SAMEA6071856_SAGS_AG904C07,78.72
GORG_SAMEA6071874_SAGS_AG904D16,80.86
GORG_SAMEA6071895_SAGS_AG904F11,88.49
GORG_SAMEA6071900_SAGS_AG904F17,91.94
GORG_SAMEA6071904_SAGS_AG904G02,86.75
GORG_SAMEA6071907_SAGS_AG904G05,75.31
GORG_SAMEA6071910_SAGS_AG904G09,79.93
GORG_SAMEA6071918_SAGS_AG904G21,75.47
GORG_SAMEA6071921_SAGS_AG904I05,77.28
GORG_SAMEA6071942_SAGS_AG904K03,94.12
GORG_SAMEA6071951_SAGS_AG904K16,87.14
GORG_SAMEA6071955_SAGS_AG904L02,82.9
GORG_SAMEA6071980_SAGS_AG904M20,77.38
GORG_SAMEA6071987_SAGS_AG904N09,81.84
GORG_SAMEA6071996_SAGS_AG904O04,81.48
GORG_SAMEA6072009_SAGS_AG904O22,90.46
GORG_SAMEA6072016_SAGS_AG904P13,75.31
GORG_SAMEA6072024_SAGS_AG905A07,87.7
GORG_SAMEA6072026_SAGS_AG905A10,77.9
GORG_SAMEA6072046_SAGS_AG905B19,87.86
GORG_SAMEA6072049_SAGS_AG905B22,79.09
GORG_SAMEA6072057_SAGS_AG905C11,77.22
GORG_SAMEA6072066_SAGS_AG905D04,78.47
GORG_SAMEA6072071_SAGS_AG905D16,94.84
GORG_SAMEA6072082_SAGS_AG905E10,84.23
GORG_SAMEA6072083_SAGS_AG905E11,89.19
GORG_SAMEA6072101_SAGS_AG905G03,78.28
GORG_SAMEA6072102_SAGS_AG905G04,89.99
GORG_SAMEA6072127_SAGS_AG905J08,80.32
GORG_SAMEA6072164_SAGS_AG905M05,93.52
GORG_SAMEA6072179_SAGS_AG905N06,77.57
GORG_SAMEA6072182_SAGS_AG905N15,75.06
GORG_SAMEA6072193_SAGS_AG905O08,89.78
GORG_SAMEA6072199_SAGS_AG905O21,87.92
GORG_SAMEA6072230_SAGS_AG907B04,86.72
GORG_SAMEA6072235_SAGS_AG907B09,85.42
GORG_SAMEA6072236_SAGS_AG907B11,78.34
GORG_SAMEA6072245_SAGS_AG907C03,77.09
GORG_SAMEA6072246_SAGS_AG907C04,82.62
GORG_SAMEA6072250_SAGS_AG907C09,80.9
GORG_SAMEA6072277_SAGS_AG907E04,82.33
GORG_SAMEA6072278_SAGS_AG907E05,85.92
GORG_SAMEA6072285_SAGS_AG907E15,82.36
GORG_SAMEA6072297_SAGS_AG907F09,86.52
GORG_SAMEA6072323_SAGS_AG907I07,78.68
GORG_SAMEA6072331_SAGS_AG907I19,78.28
GORG_SAMEA6072353_SAGS_AG907K09,79.6
GORG_SAMEA6072382_SAGS_AG907M07,85.46
GORG_SAMEA6072427_SAGS_AG907P15,76.75
GORG_SAMEA6072433_SAGS_AG908A02,83.24
GORG_SAMEA6072453_SAGS_AG908B08,83
GORG_SAMEA6072474_SAGS_AG908C17,79.64
GORG_SAMEA6072475_SAGS_AG908C18,87.81
GORG_SAMEA6072482_SAGS_AG908D05,80.16
GORG_SAMEA6072498_SAGS_AG908E09,75.35
GORG_SAMEA6072503_SAGS_AG908E18,75.92
GORG_SAMEA6072519_SAGS_AG908F18,76.76
GORG_SAMEA6072521_SAGS_AG908F20,81.47
GORG_SAMEA6072538_SAGS_AG908I10,80.35
GORG_SAMEA6072544_SAGS_AG908I21,86.18
GORG_SAMEA6072573_SAGS_AG908L09,84.94
GORG_SAMEA6072604_SAGS_AG908O05,75.02
GORG_SAMEA6072609_SAGS_AG908O10,75.92
GORG_SAMEA6072638_SAGS_AG909A07,82.7
GORG_SAMEA6072644_SAGS_AG909A17,83.41
GORG_SAMEA6072668_SAGS_AG909C16,83.47
GORG_SAMEA6072671_SAGS_AG909C20,77.37
GORG_SAMEA6072675_SAGS_AG909D07,75.37
GORG_SAMEA6072677_SAGS_AG909D10,78.96
GORG_SAMEA6072680_SAGS_AG909D16,76.02
GORG_SAMEA6072687_SAGS_AG909E04,77.9
GORG_SAMEA6072696_SAGS_AG909E20,76.24
GORG_SAMEA6072701_SAGS_AG909F08,81.24
GORG_SAMEA6072703_SAGS_AG909F14,94.48
GORG_SAMEA6072711_SAGS_AG909G08,82.66
GORG_SAMEA6072712_SAGS_AG909G09,86.54
GORG_SAMEA6072715_SAGS_AG909G18,80.13
GORG_SAMEA6072718_SAGS_AG909I04,81.54
GORG_SAMEA6072732_SAGS_AG909J05,84.26
GORG_SAMEA6072752_SAGS_AG909K20,79.37
GORG_SAMEA6072753_SAGS_AG909K21,84.6
GORG_SAMEA6072785_SAGS_AG909N06,79.8
GORG_SAMEA6072797_SAGS_AG909N22,82.58
GORG_SAMEA6072808_SAGS_AG909O16,75.72
GORG_SAMEA6072821_SAGS_AG909P15,75.94
GORG_SAMEA6072830_SAGS_AG910A06,79.26
GORG_SAMEA6072845_SAGS_AG910B05,79.33
GORG_SAMEA6072848_SAGS_AG910B10,78.58
GORG_SAMEA6072855_SAGS_AG910B20,84.34
GORG_SAMEA6072856_SAGS_AG910B21,79.3
GORG_SAMEA6072870_SAGS_AG910C18,75.73
GORG_SAMEA6072882_SAGS_AG910D13,82.8
GORG_SAMEA6072892_SAGS_AG910E04,77.18
GORG_SAMEA6072896_SAGS_AG910E10,75.39
GORG_SAMEA6072924_SAGS_AG910G11,84.1
GORG_SAMEA6072930_SAGS_AG910G21,76.8
GORG_SAMEA6072960_SAGS_AG910J22,78.85
GORG_SAMEA6072961_SAGS_AG910K02,76.93
GORG_SAMEA6072993_SAGS_AG910M02,77.76
GORG_SAMEA6073009_SAGS_AG910M21,89.02
GORG_SAMEA6073010_SAGS_AG910M23,83.18
GORG_SAMEA6073028_SAGS_AG910O03,79.07
GORG_SAMEA6073054_SAGS_AG911A04,76.71
GORG_SAMEA6073068_SAGS_AG911B02,79.99
GORG_SAMEA6073070_SAGS_AG911B04,86.18
GORG_SAMEA6073071_SAGS_AG911B05,81.24
GORG_SAMEA6073085_SAGS_AG911C08,92.06
GORG_SAMEA6073088_SAGS_AG911C13,77.37
GORG_SAMEA6073095_SAGS_AG911D02,80.98
GORG_SAMEA6073106_SAGS_AG911D18,84.62
GORG_SAMEA6073110_SAGS_AG911E02,85.81
GORG_SAMEA6073112_SAGS_AG911E04,78.82
GORG_SAMEA6073113_SAGS_AG911E05,78.71
GORG_SAMEA6073116_SAGS_AG911E14,77.45
GORG_SAMEA6073117_SAGS_AG911E15,79.71
GORG_SAMEA6073120_SAGS_AG911E22,90.21
GORG_SAMEA6073122_SAGS_AG911F11,77.36
GORG_SAMEA6073123_SAGS_AG911F13,85.62
GORG_SAMEA6073124_SAGS_AG911F16,81.18
GORG_SAMEA6073130_SAGS_AG911G03,84.75
GORG_SAMEA6073133_SAGS_AG911G06,90.8
GORG_SAMEA6073137_SAGS_AG911G11,77.84
GORG_SAMEA6073138_SAGS_AG911G13,93.68
GORG_SAMEA6073139_SAGS_AG911G14,86.32
GORG_SAMEA6073142_SAGS_AG911G22,82.22
GORG_SAMEA6073144_SAGS_AG911I02,86.96
GORG_SAMEA6073150_SAGS_AG911I16,86.36
GORG_SAMEA6073151_SAGS_AG911I17,85.97
GORG_SAMEA6073156_SAGS_AG911I23,78.17
GORG_SAMEA6073157_SAGS_AG911J02,76.79
GORG_SAMEA6073161_SAGS_AG911J07,83.11
GORG_SAMEA6073162_SAGS_AG911J10,76.03
GORG_SAMEA6073169_SAGS_AG911J19,88.1
GORG_SAMEA6073176_SAGS_AG911K05,79.46
GORG_SAMEA6073184_SAGS_AG911K15,89.76
GORG_SAMEA6073196_SAGS_AG911L10,82.44
GORG_SAMEA6073197_SAGS_AG911L11,83.58
GORG_SAMEA6073201_SAGS_AG911L17,84.76
GORG_SAMEA6073202_SAGS_AG911L18,76.85
GORG_SAMEA6073209_SAGS_AG911M04,82.58
GORG_SAMEA6073219_SAGS_AG911M23,83.22
GORG_SAMEA6073220_SAGS_AG911N03,80.24
GORG_SAMEA6073227_SAGS_AG911N14,88.86
GORG_SAMEA6073247_SAGS_AG911P04,77.11
GORG_SAMEA6073256_SAGS_AG911P17,77.01
GORG_SAMEA6073266_SAGS_AG912A14,80.64
GORG_SAMEA6073284_SAGS_AG912B21,90.68
GORG_SAMEA6073288_SAGS_AG912C06,78.15
GORG_SAMEA6073290_SAGS_AG912C08,90
GORG_SAMEA6073296_SAGS_AG912C16,75.57
GORG_SAMEA6073303_SAGS_AG912D10,89.12
GORG_SAMEA6073304_SAGS_AG912D11,77.16
GORG_SAMEA6073308_SAGS_AG912D17,85.88
GORG_SAMEA6073316_SAGS_AG912E13,78.55
GORG_SAMEA6073323_SAGS_AG912F03,91.46
GORG_SAMEA6073326_SAGS_AG912F07,78.94
GORG_SAMEA6073332_SAGS_AG912F16,87.58
GORG_SAMEA6073335_SAGS_AG912F23,81.21
GORG_SAMEA6073340_SAGS_AG912G11,83.9
GORG_SAMEA6073345_SAGS_AG912G22,95.8
GORG_SAMEA6073347_SAGS_AG912I02,90.27
GORG_SAMEA6073352_SAGS_AG912I08,77.48
GORG_SAMEA6073353_SAGS_AG912I09,75.12
GORG_SAMEA6073364_SAGS_AG912J04,80.06
GORG_SAMEA6073366_SAGS_AG912J06,87.24
GORG_SAMEA6073367_SAGS_AG912J07,91.05
GORG_SAMEA6073374_SAGS_AG912J16,80.04
GORG_SAMEA6073383_SAGS_AG912K05,76.98
GORG_SAMEA6073386_SAGS_AG912K10,82.16
GORG_SAMEA6073401_SAGS_AG912L10,79.1
GORG_SAMEA6073402_SAGS_AG912L11,84.7
GORG_SAMEA6073414_SAGS_AG912M06,86.54
GORG_SAMEA6073424_SAGS_AG912N10,81.18
GORG_SAMEA6073451_SAGS_AG912P09,77.07
GORG_SAMEA6073452_SAGS_AG912P10,78.1
GORG_SAMEA6073459_SAGS_AG912P19,91.35
GORG_SAMEA6073463_SAGS_AG913A04,86.98
GORG_SAMEA6073479_SAGS_AG913B05,90.39
GORG_SAMEA6073484_SAGS_AG913B14,75.79
GORG_SAMEA6073487_SAGS_AG913B17,76.64
GORG_SAMEA6073491_SAGS_AG913B21,85.38
GORG_SAMEA6073494_SAGS_AG913C03,92.24
GORG_SAMEA6073497_SAGS_AG913C06,92
GORG_SAMEA6073521_SAGS_AG913E11,81.01
GORG_SAMEA6073528_SAGS_AG913E23,81.06
GORG_SAMEA6073530_SAGS_AG913F03,91.44
GORG_SAMEA6073540_SAGS_AG913F17,77.02
GORG_SAMEA6073546_SAGS_AG913G10,77.62
GORG_SAMEA6073547_SAGS_AG913G13,80.53
GORG_SAMEA6073550_SAGS_AG913G17,77.06
GORG_SAMEA6073551_SAGS_AG913G18,75.56
GORG_SAMEA6073557_SAGS_AG913I06,93.44
GORG_SAMEA6073558_SAGS_AG913I09,85.57
GORG_SAMEA6073560_SAGS_AG913I14,95.26
GORG_SAMEA6073564_SAGS_AG913I22,78.93
GORG_SAMEA6073565_SAGS_AG913I23,91.52
GORG_SAMEA6073568_SAGS_AG913J04,85.54
GORG_SAMEA6073570_SAGS_AG913J07,83.11
GORG_SAMEA6073581_SAGS_AG913K07,85.72
GORG_SAMEA6073584_SAGS_AG913K11,91.09
GORG_SAMEA6073587_SAGS_AG913K15,78.61
GORG_SAMEA6073589_SAGS_AG913K21,84.62
GORG_SAMEA6073590_SAGS_AG913K22,75.92
GORG_SAMEA6073591_SAGS_AG913L03,93.43
GORG_SAMEA6073607_SAGS_AG913M06,76.54
GORG_SAMEA6073608_SAGS_AG913M07,83.95
GORG_SAMEA6073610_SAGS_AG913M13,91.72
GORG_SAMEA6073611_SAGS_AG913M15,80.02
GORG_SAMEA6073613_SAGS_AG913M17,80.96
GORG_SAMEA6073618_SAGS_AG913N02,80.27
GORG_SAMEA6073622_SAGS_AG913N09,85.94
GORG_SAMEA6073626_SAGS_AG913N17,85.96
GORG_SAMEA6073639_SAGS_AG913O18,85.09
GORG_SAMEA6073642_SAGS_AG913O21,81.96
GORG_SAMEA6073652_SAGS_AG913P14,79.19
GORG_SAMEA6073661_SAGS_AG914A09,79.94
GORG_SAMEA6073666_SAGS_AG914A17,79.08
GORG_SAMEA6073676_SAGS_AG914B14,86.02
GORG_SAMEA6073678_SAGS_AG914B16,79.52
GORG_SAMEA6073679_SAGS_AG914B17,75.96
GORG_SAMEA6073687_SAGS_AG914C06,82.82
GORG_SAMEA6073717_SAGS_AG914E06,79.43
GORG_SAMEA6073732_SAGS_AG914F07,76.35
GORG_SAMEA6073734_SAGS_AG914F13,77.24
GORG_SAMEA6073739_SAGS_AG914F19,75.76
GORG_SAMEA6073742_SAGS_AG914G02,85.65
GORG_SAMEA6073747_SAGS_AG914G10,79.62
GORG_SAMEA6073754_SAGS_AG914G22,83.36
GORG_SAMEA6073765_SAGS_AG914I16,89.19
GORG_SAMEA6073770_SAGS_AG914I23,80.31
GORG_SAMEA6073774_SAGS_AG914J05,90.88
GORG_SAMEA6073796_SAGS_AG914K18,79.39
