"","Genome","Cysteine.Biosynthesis","SO4thiosulfate.transporter","Methionine.Synthesis","Methionine.Transport","Cysteine.Degradation","Methionine.Degradation","Methionine.Salvage.Part.1","Methionine.Salvage.Part.2","Methionine.Salvage.Fusion.Enzyme","Methionine.Salvage.Anaerobic.Isoprenoid.Shunt","Methionine.Salvage.Anaerobic.Degradation.of.MTRu1P","Methionine...N.Acyl.L.homoserine.lactone","Glutathione.Synthesis","Glutathione.Transporter","DHPS.Transporter","DHPS.Degradation","DMSP.degradation","Taurine.Transport","Taurine.Degradation","Hypotaurine.Degradation","Isethionate.Transport","N.acetyltaurine.Transport","DOS.Misc.Degradation.2","DOS.Misc.Degradation.3","DOS.Misc.Degradation.4","Choline.O.sulfate.Degradation","Choline.O.sulfate.Transport","Cysteate.Degradation","Biotin.Transport","Biotin.Degradation","Coenzyme.A.Degradation","Methanethiol.Degradation","Methanethiol.Synthesis","X3.Mercaptopyruvate.Degradation","Glutathione.disulfide.degradation.and.synthesis","Dimethylsulfoxide.Degradation","Dimethylsulfone.Degradation","Methanesulfonate.Degradation","Sulfolactate.degradation","Sulfopyruvate.Degradation","Sulfoacetaldehyde.Degradation","S.adenosyl.L.homocysteine.degradation"
"TARA_SAMEA4397174_METAG_LMPNIEMG","TARA_SAMEA4397174_METAG_LMPNIEMG",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1
"TARA_SAMEA4397174_METAG_HOMGNEGA","TARA_SAMEA4397174_METAG_HOMGNEGA",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"TARA_SAMEA4397174_METAG_PCNIEGAM","TARA_SAMEA4397174_METAG_PCNIEGAM",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0.333333333333333,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1
"TARA_SAMEA2620882_METAG_FCMLJLGB","TARA_SAMEA2620882_METAG_FCMLJLGB",1,0,1,0,0,1,0.6,0.2,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
"TARA_SAMEA2622843_METAG_KMMKEEHK","TARA_SAMEA2622843_METAG_KMMKEEHK",1,0,1,0,1,0.333333333333333,0.6,0.2,0,0.333333333333333,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"TARA_SAMEA2622843_METAG_NCDLFJCE","TARA_SAMEA2622843_METAG_NCDLFJCE",1,0,1,0,1,1,0.333333333333333,0,0,0.666666666666667,0,0,0.5,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA2622843_METAG_GFDEHKKO","TARA_SAMEA2622843_METAG_GFDEHKKO",1,0,1,0,1,1,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"TARA_SAMEA2622843_METAG_CFGEOLOP","TARA_SAMEA2622843_METAG_CFGEOLOP",1,0,1,0,1,1,1,0.2,0,0.333333333333333,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
"TARA_SAMEA2622843_METAG_HAPJAMBJ","TARA_SAMEA2622843_METAG_HAPJAMBJ",1,0,0.333333333333333,0,1,1,0.333333333333333,0.25,0.5,0.666666666666667,0,0,0.5,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"TARA_SAMEA2622843_METAG_OLFFNFGB","TARA_SAMEA2622843_METAG_OLFFNFGB",1,0,1,0,1,1,0.333333333333333,0,0,0.666666666666667,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1
"TARA_SAMEA2620360_METAG_IDPCMGIK","TARA_SAMEA2620360_METAG_IDPCMGIK",1,0,1,0,1,1,1,0,0,0.666666666666667,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.333333333333333,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"TARA_SAMEA4397815_METAG_KPKHPOOD","TARA_SAMEA4397815_METAG_KPKHPOOD",1,0,1,0,1,1,0.6,0.2,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"TARA_SAMEA4397815_METAG_KJLCEJNP","TARA_SAMEA4397815_METAG_KJLCEJNP",1,0,1,0,1,1,0.5,0.2,0,0.333333333333333,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1
"TARA_SAMEA2622695_METAG_PPIEDCML","TARA_SAMEA2622695_METAG_PPIEDCML",1,0,1,0,1,1,1,0,0,0.666666666666667,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1
"TARA_SAMEA2622695_METAG_BLJEPEJF","TARA_SAMEA2622695_METAG_BLJEPEJF",1,0,1,0,1,0,0.4,0,0,0.666666666666667,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"TARA_SAMEA2622695_METAG_EEIOIJLI","TARA_SAMEA2622695_METAG_EEIOIJLI",1,1,1,0,1,1,0.4,0.4,0.5,0.333333333333333,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1
"TARA_SAMEA2622695_METAG_CCMMJIDN","TARA_SAMEA2622695_METAG_CCMMJIDN",1,0,1,0,0.5,1,0.6,0,0,0.333333333333333,0,0,0.5,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
"TARA_SAMEA2621003_METAG_GHPCFLJN","TARA_SAMEA2621003_METAG_GHPCFLJN",1,0,1,0,1,0.333333333333333,0,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1
"TARA_SAMEA2621003_METAG_PPLHGMJA","TARA_SAMEA2621003_METAG_PPLHGMJA",1,0,1,0,1,0.333333333333333,0.8,0.25,0.5,0.333333333333333,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"TARA_SAMEA2623385_METAG_KOBCMOFH","TARA_SAMEA2623385_METAG_KOBCMOFH",1,0,1,0,1,0.666666666666667,0.333333333333333,0.2,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.666666666666667,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"TARA_SAMEA2623385_METAG_OPDGICHD","TARA_SAMEA2623385_METAG_OPDGICHD",1,0,1,0,1,1,0.8,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.333333333333333,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"TARA_SAMEA2619548_METAG_EKHELPFN","TARA_SAMEA2619548_METAG_EKHELPFN",0.5,0,0.333333333333333,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
"TARA_SAMEA4396489_METAG_PNEAOHFJ","TARA_SAMEA4396489_METAG_PNEAOHFJ",1,0,1,0,1,1,0.2,0,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4396489_METAG_JCHDNPJO","TARA_SAMEA4396489_METAG_JCHDNPJO",1,0,1,0,1,1,0.333333333333333,0.2,0,0.333333333333333,1,0,0.5,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4396489_METAG_AIPLEFJK","TARA_SAMEA4396489_METAG_AIPLEFJK",1,0,1,0,1,1,0.2,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4396489_METAG_KLAOAPLD","TARA_SAMEA4396489_METAG_KLAOAPLD",1,0,1,0,1,1,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"TARA_SAMEA4396489_METAG_HMLIJBGP","TARA_SAMEA4396489_METAG_HMLIJBGP",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.666666666666667,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
"TARA_SAMEA4396489_METAG_LNPLLIJH","TARA_SAMEA4396489_METAG_LNPLLIJH",1,0,1,0,1,1,0.6,0.2,0,0.333333333333333,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
"TARA_SAMEA4396489_METAG_KGPCBANM","TARA_SAMEA4396489_METAG_KGPCBANM",1,0,1,0,1,1,1,0.75,0,0.333333333333333,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0.333333333333333,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"TARA_SAMEA4396489_METAG_MGODDFLG","TARA_SAMEA4396489_METAG_MGODDFLG",1,0,1,1,1,1,0.333333333333333,0.2,0,0.333333333333333,1,0,0.5,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"TARA_SAMEA4396489_METAG_OJJOAMNG","TARA_SAMEA4396489_METAG_OJJOAMNG",1,0,1,0,1,1,0.333333333333333,0,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4396489_METAG_LDIHKDMJ","TARA_SAMEA4396489_METAG_LDIHKDMJ",1,0,1,0,1,0.666666666666667,0.166666666666667,0,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4396489_METAG_ODDEFBDL","TARA_SAMEA4396489_METAG_ODDEFBDL",1,0,1,0,1,1,0.2,0.2,0,0.333333333333333,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"TARA_SAMEA4397295_METAG_HEGEJJIG","TARA_SAMEA4397295_METAG_HEGEJJIG",1,0,1,0,1,1,1,0.2,0,0.333333333333333,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1
"TARA_SAMEA4397295_METAG_KKGMBBHD","TARA_SAMEA4397295_METAG_KKGMBBHD",1,0,1,0,1,0,0.2,0.2,0,0.333333333333333,1,0,0.5,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0
"TARA_SAMEA4397295_METAG_CPAOGDCL","TARA_SAMEA4397295_METAG_CPAOGDCL",1,0,1,0,1,1,0.2,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4397295_METAG_IILNPAIN","TARA_SAMEA4397295_METAG_IILNPAIN",1,0,1,0,0,1,0.4,0.2,0,0.333333333333333,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1
"TARA_SAMEA4397295_METAG_AKOJOGFD","TARA_SAMEA4397295_METAG_AKOJOGFD",1,0,1,0,1,1,0.8,0,0,0.333333333333333,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.333333333333333,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"TARA_SAMEA4397295_METAG_JDGJMFPC","TARA_SAMEA4397295_METAG_JDGJMFPC",1,0,1,0,1,1,1,0,0,0.666666666666667,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1
"TARA_SAMEA4397295_METAG_DPMLBJKP","TARA_SAMEA4397295_METAG_DPMLBJKP",1,0,1,1,1,1,1,0.75,0,0.333333333333333,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0.333333333333333,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1
"TARA_SAMEA4397295_METAG_LGDNALGL","TARA_SAMEA4397295_METAG_LGDNALGL",1,0,1,0,1,1,0.333333333333333,0.2,0,0.333333333333333,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1
"TARA_SAMEA4397295_METAG_FGIGCOEA","TARA_SAMEA4397295_METAG_FGIGCOEA",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1
"TARA_SAMEA4397295_METAG_CHFOABHE","TARA_SAMEA4397295_METAG_CHFOABHE",1,0,1,0,1,1,0.5,0.2,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
"TARA_SAMEA4397295_METAG_NFKGHKPH","TARA_SAMEA4397295_METAG_NFKGHKPH",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1
"TARA_SAMEA4397295_METAG_KFPJNEBE","TARA_SAMEA4397295_METAG_KFPJNEBE",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1
"TARA_SAMEA4397363_METAG_KNEHOGNN","TARA_SAMEA4397363_METAG_KNEHOGNN",1,0,1,0,1,1,0.4,0.2,0,0.666666666666667,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
"TARA_SAMEA4397363_METAG_ALAKJOMB","TARA_SAMEA4397363_METAG_ALAKJOMB",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1
"TARA_SAMEA4397363_METAG_PEEMKBIH","TARA_SAMEA4397363_METAG_PEEMKBIH",1,0,1,0,1,0,0.2,0.2,0,0.666666666666667,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
"TARA_SAMEA4397363_METAG_MIHECLMN","TARA_SAMEA4397363_METAG_MIHECLMN",1,0,1,1,1,1,0.8,0.75,0,0.333333333333333,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.333333333333333,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1
"TARA_SAMEA4397363_METAG_BMGIPIJA","TARA_SAMEA4397363_METAG_BMGIPIJA",1,0,1,1,1,0,0.6,0.75,0,0.333333333333333,0,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.333333333333333,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
"TARA_SAMEA4397363_METAG_ALEIFOKK","TARA_SAMEA4397363_METAG_ALEIFOKK",1,0,1,1,1,0.333333333333333,0.2,0,0,0.333333333333333,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"TARA_SAMEA4397363_METAG_LCAJOBFM","TARA_SAMEA4397363_METAG_LCAJOBFM",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1
"TARA_SAMEA4397363_METAG_CECNBIBD","TARA_SAMEA4397363_METAG_CECNBIBD",1,0,1,0,1,1,0.5,0.2,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
"TARA_SAMEA4397363_METAG_NKDPALCA","TARA_SAMEA4397363_METAG_NKDPALCA",1,0,1,0,1,1,0.333333333333333,0.2,0,0.333333333333333,0,0,0.5,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
"TARA_SAMEA4397363_METAG_CEGNMIJP","TARA_SAMEA4397363_METAG_CEGNMIJP",1,1,1,1,1,1,0.6,0.4,0.5,0.666666666666667,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1
"TARA_SAMEA4397666_METAG_GEHNEDPC","TARA_SAMEA4397666_METAG_GEHNEDPC",1,1,1,1,1,1,0.8,0.4,0.5,0.333333333333333,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0.333333333333333,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
"TARA_SAMEA4397666_METAG_NMFMJJLO","TARA_SAMEA4397666_METAG_NMFMJJLO",1,0,1,1,1,1,0.833333333333333,0.75,0,0.333333333333333,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0.333333333333333,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
"TARA_SAMEA4397666_METAG_KOFOEKLF","TARA_SAMEA4397666_METAG_KOFOEKLF",1,0,1,1,1,1,0.8,0.75,0,0.333333333333333,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0.333333333333333,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1
"TARA_SAMEA4397666_METAG_KDJEKNNN","TARA_SAMEA4397666_METAG_KDJEKNNN",1,0,1,0,1,1,0.2,0.2,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"TARA_SAMEA4397666_METAG_KNMAPNLK","TARA_SAMEA4397666_METAG_KNMAPNLK",1,0,1,0,1,1,0.333333333333333,0,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4397666_METAG_ACOFDJEN","TARA_SAMEA4397666_METAG_ACOFDJEN",1,1,1,0,1,1,1,0.75,0,0.333333333333333,0,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4397666_METAG_LFCFEOFA","TARA_SAMEA4397666_METAG_LFCFEOFA",1,0,1,0,1,1,0.4,0.2,0,0.666666666666667,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1
"TARA_SAMEA4397666_METAG_BEOCIIDB","TARA_SAMEA4397666_METAG_BEOCIIDB",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0.333333333333333,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"TARA_SAMEA4397666_METAG_ABDEGCDA","TARA_SAMEA4397666_METAG_ABDEGCDA",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,0,1,0,1,0.333333333333333,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"TARA_SAMEA4397666_METAG_DFNAICKB","TARA_SAMEA4397666_METAG_DFNAICKB",1,0,1,0,1,1,0.4,0,0,0.333333333333333,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.666666666666667,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
"TARA_SAMEA4397666_METAG_AGODLCHL","TARA_SAMEA4397666_METAG_AGODLCHL",1,0,1,0,1,1,0.6,0.2,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"TARA_SAMEA2621271_METAG_BHKEHIPM","TARA_SAMEA2621271_METAG_BHKEHIPM",1,0,1,1,1,1,0.4,0.2,0,0.333333333333333,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
"TARA_SAMEA2621271_METAG_JBMDAMLJ","TARA_SAMEA2621271_METAG_JBMDAMLJ",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0.333333333333333,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
"TARA_SAMEA2621271_METAG_INEEGEBM","TARA_SAMEA2621271_METAG_INEEGEBM",1,0,1,0,1,1,0.8,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.333333333333333,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"TARA_SAMEA2622331_METAG_DIKPKKCE","TARA_SAMEA2622331_METAG_DIKPKKCE",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1
"TARA_SAMEA2622331_METAG_JCPAAJFC","TARA_SAMEA2622331_METAG_JCPAAJFC",1,0,1,0,1,1,0.8,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.333333333333333,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"TARA_SAMEA2621107_METAG_LANNJOHC","TARA_SAMEA2621107_METAG_LANNJOHC",1,0,1,1,1,1,0.4,0.2,0,0.333333333333333,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
"TARA_SAMEA2621107_METAG_FPLPNPBB","TARA_SAMEA2621107_METAG_FPLPNPBB",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0.333333333333333,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
"TARA_SAMEA2621107_METAG_HMFCIFOE","TARA_SAMEA2621107_METAG_HMFCIFOE",1,0,0.5,0,1,1,0.8,0.2,0,0.666666666666667,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1
"TARA_SAMEA2621107_METAG_MBDOFGMO","TARA_SAMEA2621107_METAG_MBDOFGMO",1,0,1,0,1,1,1,0.75,0,0.333333333333333,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0.333333333333333,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1
"TARA_SAMEA2621107_METAG_FNANGONO","TARA_SAMEA2621107_METAG_FNANGONO",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"TARA_SAMEA2621107_METAG_PLNIOFFK","TARA_SAMEA2621107_METAG_PLNIOFFK",1,0,1,0,1,1,0.8,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.333333333333333,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"TARA_SAMEA4397722_METAG_DFGHONHO","TARA_SAMEA4397722_METAG_DFGHONHO",1,0,1,1,1,1,1,0.75,0,0.333333333333333,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0.333333333333333,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1
"TARA_SAMEA4397722_METAG_LBFGKHBH","TARA_SAMEA4397722_METAG_LBFGKHBH",1,0,1,0,1,1,0.5,0,0,0.333333333333333,0,0,0.5,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4397722_METAG_DODEBMHC","TARA_SAMEA4397722_METAG_DODEBMHC",1,0,1,0,1,1,0.6,0.2,0,0.333333333333333,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1
"TARA_SAMEA4397722_METAG_GFPLLOFB","TARA_SAMEA4397722_METAG_GFPLLOFB",1,0,1,0,1,1,0.6,0.2,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"TARA_SAMEA4397722_METAG_BKLGAPKD","TARA_SAMEA4397722_METAG_BKLGAPKD",1,0,1,0,1,1,0.4,0,0,0.333333333333333,1,0,0.5,0,1,0,0,0,0,0,1,1,1,0,1,0.333333333333333,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1
"TARA_SAMEA4397722_METAG_BFHJPBOG","TARA_SAMEA4397722_METAG_BFHJPBOG",1,1,1,1,1,1,0.8,0.25,0.5,0.333333333333333,0,0,0.5,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
"TARA_SAMEA4397722_METAG_AFBMIOFG","TARA_SAMEA4397722_METAG_AFBMIOFG",1,0,1,0,1,1,0.333333333333333,0,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4397722_METAG_FLIFJHBF","TARA_SAMEA4397722_METAG_FLIFJHBF",1,0,1,0,1,1,0.6,0,0,0.666666666666667,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
"TARA_SAMEA4397409_METAG_AGGOFNMM","TARA_SAMEA4397409_METAG_AGGOFNMM",1,0,1,0,1,1,0.6,0.2,0,0.333333333333333,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
"TARA_SAMEA4397409_METAG_CCPIBCBG","TARA_SAMEA4397409_METAG_CCPIBCBG",1,0,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1
"TARA_SAMEA4397409_METAG_KMAHOEFJ","TARA_SAMEA4397409_METAG_KMAHOEFJ",1,0,1,0,1,1,0.4,0.2,0,0.666666666666667,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1
"TARA_SAMEA2622764_METAG_OLCGPNDJ","TARA_SAMEA2622764_METAG_OLCGPNDJ",1,0,1,0,1,0.666666666666667,0.333333333333333,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
