Pathway Number,Metabolite,Broad pathway description,Oxidation State,"Kind of Metabolism (Synthesis, Degradation, Transport)",Step,StepName,Enzyme,Step description,Name,Definition,KEGG Reaction,KEGG Enzyme,KO,Category of Metabolism,Gene,EnzymeName,Diagnostic,DeltaGm,DeltaG0,ATP Requirement,ATP Creation,O2 Requirement,NAD+/NADP+ Req.,NADH/NADPH Requirement,FAD Req.,FADH2 Requirement,Notes
14,DHPS,DHPS Degradation,,,6,,3,,,,R05774,4.1.1.79,K24393,,comDE,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,7,,1,,,,R05651,2.3.3.15,K03852,,xsc,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,7,,2,,,,,,xsc_align,,xsc_hmm,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,8,,1,"aspartate aminotransferase, chloroplastic",,,R02433,2.6.1.1,K00811,,asp5,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,8,,2,aspartate aminotransferase,,,R02433,2.6.1.1,K00812,,aspB,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,8,,3,aspartate aminotransferase,,,R02433,2.6.1.1,K00813,,aspC,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,8,,4,aspartate aminotransferase,,,R02433,2.6.1.1,K11358,,yhdR,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,8,,5,"aspartate aminotransferase, cytoplasmic",,,R02433,2.6.1.1,K14454,,got1,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,8,,6,"aspartate aminotransferase, mitochondrial",,,R02433,2.6.1.1,K14455,,got2,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,8,,7,,,,R02433,2.6.1.1,K15849,,pat,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,9,,1,,,,R07634,4.4.1.25,K17950,,cuyA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,1,,1,cleavage,,,R02574,4.4.1.3,K16953,,dddL,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,1,,2,cleavage,,,,,dddl_align,,dddL_hmm,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,2,,1,cleavage,,,R09500,1.8.2.4,K16964,,ddhA,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,2,,1,cleavage,,,R09500,1.8.2.4,K16965,,ddhB,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,2,,1,cleavage,,,R09500,1.8.2.4,K16966,,ddhC,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,3,,1,cleavage,,,,,dddw_align,,dddw_hmm,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,4,,1,cleavage,,,,,dddd_align,,dddd_hmm,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,5,,1,cleavage,,,,,dddp_align,,dddp_hmm,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,6,,1,cleavage,,,,,dddk_align,,dddk_hmm,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,7,,1,cleavage,,,,,dddq_align,,dddq_hmm,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,8,,1,demethylation,,,R10333,2.1.1.269,K17486,,dmdA,,,,,,,,,,,,
15,DMSP,DMSP degradation,,,8,,2,,,,,,dmda_align,,dmdA_hmm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Taurine,Taurine Transport,,,1,,1,taurine transport system substrate-binding protein,,,,,K15551,,tauA,,,,,,,,,,,,
16,Taurine,Taurine Transport,,,1,,1,,,,,,taua_align,,tauA_hmm,,,,,,,,,,,,
16,Taurine,Taurine Transport,,,1,,1,taurine transport system ATP-binding protein,,,,,K10831,,tauB,,,,,,,,,,,,
16,Taurine,Taurine Transport,,,1,,1,taurine transport system permease protein,,,,,K15552,,tauC,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Taurine,Taurine Degradation,,,1,,1,,,,R01684,2.6.1.55,K15372,,toa,,,,,,,,,,,,
17,Taurine,Taurine Degradation,,,1,,2,,,,R05652,2.6.1.77,K03851,,tpa,,,,,,,,,,,,
17,Taurine,Taurine Degradation,,,1,,3,,,,R01685,1.4.2.-,K07255,,tauX,,,,,,,,,,,,
17,Taurine,Taurine Degradation,,,1,,4,,,,R01685,1.4.2.-,K07256,,tauY,,,,,,,,,,,,
17,Taurine,Taurine Degradation,,,1,,5,,,,R07167,1.4.99.2,NA,,,,,,,,,,,,,,
17,Taurine,Taurine Degradation,,,2,,1,,,,R05651,2.3.3.15,K03852,,xsc,,,,,,,,,,,,
17,Taurine,Taurine Degradation,,,2,,2,,,,,,xsc_align,,xsc_hmm,,,,,,,,,,,,
17,Taurine,Taurine Degradation,,,3,,1,,,,R05320,1.14.11.17,K03119,,tauD,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Hypotaurine,Hypotaurine Degradation,,,1,,1,to sulfoacetaldehyde,,,R05652,2.6.1.77,K03851,,tpa,,,,,,,,,,,,
18,Hypotaurine,Hypotaurine Degradation,,,2,,1,to taurine,,,,1.8.1.-,K00485,,fmo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Isethionate,Isethionate Degradation,,,1,,1,isethionate dehydrogenase,,,,,NA,,,,,,,,,,,,,,
19,Isethionate,Isethionate Degradation,,,2,,1,,,,R05651,2.3.3.15,K03852,,xsc,,,,,,,,,,,,
19,Isethionate,Isethionate Degradation,,,2,,2,,,,,,xsc_align,,xsc_hmm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Isethionate,Isethionate Transport,,,1,,1,,,,,,K11690,,iseM,,,,,,,,,,,,
20,Isethionate,Isethionate Transport,,,1,,1,,,,,,NA,,iseL,,,,,,,,,,,,
20,Isethionate,Isethionate Transport,,,1,,1,,,,,,isek_align,,iseK_hmm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,N-acetyltaurine,N-acetyltaurine Transport,,,1,,1,peptide/nickel transport system substrate-binding protein,,,,,K02035,,naaA,,,,,,,,,,,,
21,N-acetyltaurine,N-acetyltaurine Transport,,,1,,2,peptide/nickel transport system permease protein,,,,,naaa_align,,naaA_hmm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,N-acetyltaurine,N-acetyltaurine Degradation,,,1,,1,SPO0658,,,,,NA,,naaTS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,DOS Misc Degradation,,,1,,1,phosphotransacetylase,,,R00230,2.3.1.8,K00625,,pta1,,,,,,,,,,,,
23,,DOS Misc Degradation,,,1,,2,phosphotransacetylase,,,R00230,2.3.1.8,K04020,,eutD,,,,,,,,,,,,
23,,DOS Misc Degradation,,,1,,3,phosphotransacetylase,,,R00230,2.3.1.8,K13788,,pta2,,,,,,,,,,,,
23,,DOS Misc Degradation,,,1,,4,phosphotransacetylase,,,R00230,2.3.1.8,K15024,,pduL,,,,,,,,,,,,
24,,DOS Misc Degradation 2,,,1,,1,sulfite exporter,,,,,K07090,,yfcA,,,,,,,,,,,,
25,,DOS Misc Degradation 3,,,1,,1,sulfite dehydrogenase,,,R00528,1.8.2.1,K00386,,sorB,,,,,,,,,,,,
25,,DOS Misc Degradation 3,,,1,,1,sulfite dehydrogenase,,,R00528,1.8.2.1,K05301,,sorA,,,,,,,,,,,,
26,,DOS Misc Degradation 4,,,1,,1,acetate activation,,,R00235,6.2.1.1,K01895,,acs,,,,,,,,,,,,
26,,DOS Misc Degradation 4,,,1,,1,acetate activation,,,R00235,6.2.1.1,K01913,,acn1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Choline-O-sulfate,Choline-O-sulfate Degradation,,,1,,1,,,,R01028,3.1.6.6,betc_align,,betC_hmm,,,,,,,,,,,,
27,Choline-O-sulfate,Choline-O-sulfate Degradation,,,1,,2,,,,,,K01133,,betC,,,,,,,,,,,,
27,Choline-O-sulfate,Choline-O-sulfate Degradation,,,2,,1,,,,R01025,1.1.99.1,K00108,,betA,,,,,,,,,,,,
27,Choline-O-sulfate,Choline-O-sulfate Degradation,,,3,,1,,,,R02565,1.2.1.8,K00130,,betB,,,,,,,,,,,,
27,Choline-O-sulfate,Choline-O-sulfate Degradation,,,3,,2,,,,R02565,1.2.1.8,K14085,,aldh7A1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Choline-O-sulfate,Choline-O-sulfate Transport,,,1,,1,,,,,,K05845,,opuC,,,,,,,,,,,,
28,Choline-O-sulfate,Choline-O-sulfate Transport,,,1,,1,,,,,,K05846,,opuBD,,,,,,,,,,,,
28,Choline-O-sulfate,Choline-O-sulfate Transport,,,1,,1,,,,,,K05847,,opuA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,1,,1,amine trans,,,R00355,2.6.1.1,K00812,,aspB,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,1,,2,amine trans,,,R00355,2.6.1.1,K00813,,aspC,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,1,,3,amine trans,,,R00355,2.6.1.1,K11358,,yhdR,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,1,,4,amine trans,,,R00355,2.6.1.1,K14454,,got1,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,1,,5,amine trans,,,R00355,2.6.1.1,K00811,,asp5,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,1,,6,amine trans,,,R00355,2.6.1.1,K14455,,got2,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,2,,1,"deamination, desulfonation, and oxidation to pyruvate",,,R07634,4.4.1.25,K17950,,cuyA,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,3,,1,,,,R07136,1.1.1.337,K05884,,comC2,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,4,,1,,,,R07633,4.4.1.24,K16845,,suyA,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,4,,1,,,,R07633,4.4.1.24,K16846,,suyB,,,,,,,,,,,,
29,Cysteate,Cysteate Degradation,,,5,,1,,,,,,cuya2_aligned,,cuyA2_hmm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Cysteate,Cysteate Transport,,,1,,1,SPO2658,,,,,NA,,,,,,,,,,,,,,
30,Cysteate,Cysteate Transport,,,1,,1,SPO2659,,,,,NA,,,,,,,,,,,,,,
30,Cysteate,Cysteate Transport,,,1,,1,SPO2660,,,,,NA,,,,,,,,,,,,,,
30,Cysteate,Cysteate Transport,,,1,,1,SPO2661,,,,,NA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Homoglutathione,Homoglutathione Synthesis,,,1,,1,γ-glutamylcysteine is synthesized from cysteine and glutamate by gamma-glutamylcysteine synthetase,,,R00894,6.3.2.2,K01919,,gshA,,,,,,,,,,,,
31,Homoglutathione,Homoglutathione Synthesis,,,1,,2,γ-glutamylcysteine is synthesized from cysteine and glutamate by gamma-glutamylcysteine synthetase,,,R00894,6.3.2.2,K06048,,ybdK,,,,,,,,,,,,
31,Homoglutathione,Homoglutathione Synthesis,,,1,,3,γ-glutamylcysteine is synthesized from cysteine and glutamate by gamma-glutamylcysteine synthetase,,,R00894,6.3.2.2,K11204,,gclc,,,,,,,,,,,,
31,Homoglutathione,Homoglutathione Synthesis,,,1,,4,γ-glutamylcysteine is synthesized from cysteine and glutamate by gamma-glutamylcysteine synthetase,,,R00894,6.3.2.2,K11205,,gclm,,,,,,,,,,,,
31,Homoglutathione,Homoglutathione Synthesis,,,2,,1,,,,R02741,6.3.2.23,NA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Thiamine,Thiamine Transport,,,1,,1,,,,,,K02064,,thiB,,,,,,,,,,,,
32,Thiamine,Thiamine Transport,,,1,,1,,,,,,K02063,,thiP,,,,,,,,,,,,
32,Thiamine,Thiamine Transport,,,1,,1,,,,,,K02062,,thiQ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,1,,1,,,,R03472,4.1.99.17,K03147,,thiC,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,2,,1,,,,R04509,2.7.4.7,K00877,,thi20,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,2,,2,,,,R04509,2.7.4.7,K00941,,thiD,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,2,,3,,,,R04509,2.7.4.7,K14153,,thiDE,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,2,,4,,,,R04509,2.7.4.7,K21219,,thiDN,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,3,,1,,,,R07459,2.7.7.73,K03148,,thiF,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,4,,1,,,,R07461,2.8.1.4,K03151,,thiI,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,5,,1,,,,R10246,4.1.99.19,K03150,,thiH,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,6,,1,,,,R07463,1.4.3.19,K03153,,thiO,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,7,,1,,,,R10247,2.8.1.10,K03149,,thiG,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,8,,1,,,,R09977,5.3.99.10,K10810,,tenI,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,9,,1,,,,R10712,2.5.1.3,K00788,,thiE,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,9,,2,,,,R10712,2.5.1.3,K21220,,thiN,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,9,,3,,,,R10712,2.5.1.3,K14153,,thiDE,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,9,,4,,,,R10712,2.5.1.3,K21219,,thiDN,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,9,,5,,,,R10712,2.5.1.3,K14154,,thi6,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,10,,1,,,,R02135,3.1.3.1,K01077,,phoA,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,10,,2,,,,R02135,3.1.3.2,K01078,,pho,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,10,,3,,,,R02135,3.1.3.2,K23458,,pho5,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,10,,4,,,,R02135,3.1.3.2,K14393,,acp1,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,10,,5,,,,R02135,3.1.3.100,K06949,,rsgA,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,10,,6,,,,R02135,3.1.3.100,K22911,,th2,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,11,,1,,,,R02863,2.5.1.2,K10811,,bcmE,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,12,,1,,,,R02133,3.5.99.2,K03707,,tenA,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,12,,2,,,,R02133,3.5.99.2,K00877,,thi20,,,,,,,,,,,,
33,Thiamine,Thiamine Synthesis,,,13,,1,,,,R00619,2.7.6.2,K00949,,thiN,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Biotin,Biotin Transport,,,1,,1,,,,,,K03523,,bioY,,,,,,,,,,,,
34,Biotin,Biotin Transport,,,1,,1,,,,,,K16783,,bioN,,,,,,,,,,,,
34,Biotin,Biotin Transport,,,1,,1,,,,,,K16784,,bioM,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Biotin,Biotin Degradation,,,1,,1,,,,R10127,,K08351,,bisC,,,,,,,,,,,,
35,Biotin,Biotin Degradation,,,2,,1,,,,R04562;R04563;R04582;R04604,,K01942,,hlcs,,,,,,,,,,,,
35,Biotin,Biotin Degradation,,,2,,2,,,,R04562;R04563;R04582;R04604,,K01947,,birAcoaX,,,,,,,,,,,,
35,Biotin,Biotin Degradation,,,2,,3,,,,R04562;R04563;R04582;R04604,,K03524,,birA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coenzyme A,Coenzyme A Degradation,,,1,,1,,,,R00227,3.1.2.1,K01067,,ach1,,,,,,,,,,,,
36,Coenzyme A,Coenzyme A Degradation,,,1,,2,,,,R00227,2.3.1.16,K00632,,fadA,,,,,,,,,,,,
36,Coenzyme A,Coenzyme A Degradation,,,1,,3,,,,R00238,2.3.1.16,K07508,,acaa2,,,,,,,,,,,,
36,Coenzyme A,Coenzyme A Degradation,,,1,,4,,,,R00238,2.3.1.16,K07509,,hadhB,,,,,,,,,,,,
36,Coenzyme A,Coenzyme A Degradation,,,1,,5,,,,R00238,2.3.1.16,K07513,,acaa1,,,,,,,,,,,,
36,Coenzyme A,Coenzyme A Degradation,,,1,,6,,,,R01177,2.3.1.9,K00626,,acat,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Coenzyme A,Coenzyme A Transport,,,1,,1,,,,,,K15085,,SLC25A42,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Methanethiol,Methanethiol Degradation,,,1,,1,,,,R00651,2.5.1.49,K01740,,metY,,,,,,,,,,,,
38,Methanethiol,Methanethiol Degradation,,,2,,1,,,,R01851,1.8.3.4,K17285,,selenbp1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Methanethiol,Methanethiol Synthesis,,,1,,1,,,,R00654,4.4.1.11,K01761,,mgl,,,,,,,,,,,,
39,Methanethiol,Methanethiol Synthesis,,,2,,1,,,,R09786,1.14.13.131,K16967,,dmoA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3-Mercaptopyruvate,3-Mercaptopyruvate Degradation,,,1,,1,,,,R12689,2.8.1.2,K01011,,tst,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3-Mercaptopyruvate,3-Mercaptopyruvate Synthesis,,,1,,1,,,,,,NA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Glutathione disulfide,Glutathione disulfide transport,,,1,,1,,,,,7.6.2.3,K05665,,abcc1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Glutathione disulfide,Glutathione disulfide degradation and synthesis,,,1,,1,,,,R00115,1.8.1.7,K00383,,gsr,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Dimethylsulfoxide,Dimethylsulfoxide Degradation,,,1,,1,reduction of DMSO to DMS,,,R09501,1.8.5.3,K07306,,dmsA,,,,,,,,,,,,
44,Dimethylsulfoxide,Dimethylsulfoxide Degradation,,,1,,1,reduction of DMSO to DMS,,,R09501,1.8.5.3,K07307,,dmsB,,,,,,,,,,,,
44,Dimethylsulfoxide,Dimethylsulfoxide Degradation,,,1,,1,reduction of DMSO to DMS,,,R09501,1.8.5.3,K07308,,dmsC,,,,,,,,,,,,
44,Dimethylsulfoxide,Dimethylsulfoxide Degradation,,,1,,1,reduction of DMSO to DMS,,,R09501,1.8.5.3,K00184,,dmsB2,,,,,,,,,,,,
44,Dimethylsulfoxide,Dimethylsulfoxide Degradation,,,1,,1,reduction of DMSO to DMS,,,R09501,1.8.5.3,K00185,,dmsC2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Dimethylsulfone,Dimethylsulfone Degradation,,,1,,1,oxidation of DMSO2 to methanesulfonic,,,R10203,1.14.14.35,K17228,,sfnG,,,,,,,,,,,,
45,Dimethylsulfone,Dimethylsulfone Degradation,,,2,,1,reduction of DMSO2 to DMSO,,,R09498,1.8.1.17,NA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Methanesulfonate,Methanesulfonate Transport,,,1,,1,,,,,,K10117,,msmE,,,,,,,,,,,,
46,Methanesulfonate,Methanesulfonate Transport,,,1,,2,,,,,,K10118,,msmF,,,,,,,,,,,,
46,Methanesulfonate,Methanesulfonate Transport,,,1,,3,,,,,,K10119,,msmG,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Methanesulfonate,Methanesulfonate Degradation,,,1,,1,sulfite formation through condenstion and oxidation of NADH,,,R09513,1.14.13.111,K16968,,msmA,,,,,,,,,,,,
47,Methanesulfonate,Methanesulfonate Degradation,,,1,,1,sulfite formation through condenstion and oxidation of NADH,,,R09513,1.14.13.111,K16969,,msmB,,,,,,,,,,,,
47,Methanesulfonate,Methanesulfonate Degradation,,,1,,1,sulfite formation through condenstion and oxidation of NADH,,,R09513,1.14.13.111,K15762,,tmoC,,,,,,,,,,,,
47,Methanesulfonate,Methanesulfonate Degradation,,,1,,1,sulfite formation through condenstion and oxidation of NADH,,,R09513,1.14.13.111,K15765,,tmoF,,,,,,,,,,,,
47,Methanesulfonate,Methanesulfonate Degradation,,,2,,1,condensation and oxidation of FMN to form sulfite,,,R10206,1.14.14.34,K04091,,ssuD,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Homotaurine,Homotaurine Transport,,,1,,1,,,,,,K11735,,gabP,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Homotaurine,Homotaurine Degradation,Remove,,1,,1,aminotransfer,,,,,K07250,,gabT,,,,,,,,,,,,
,Homotaurine,Homotaurine Degradation,Remove,,2,,1,,,,R00713,1.2.1.24,K00139,,aldh5a1,,,,,,,,,,,,
,Homotaurine,Homotaurine Degradation,Remove,,2,,2,,,,R00713,1.2.1.24,K08324,,sad,,,,,,,,,,,,
,Homotaurine,Homotaurine Degradation,Remove,,2,,3,,,,R00713,1.2.1.24,K17761,,ssadh,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,1,,1,oxidation of sulfolactate,,,R05693,1.1.1.310,K16843,,slcC,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,2,,1,reduction of sulfolactate,,,R07137,1.1.1.338,K16844,,comC,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,3,,1,removal of sulfite,,,R07633,4.4.1.24,K16845,,suyA,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,3,,1,removal of sulfite,,,R07633,4.4.1.24,K16846,,suyB,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,4,,1,oxidation of sulfolactate,,,,,NA,,,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,5,,1,decarboxylation,,,R05774,4.1.1.79,K06034,,comD,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,5,,1,decarboxylation,,,R05774,4.1.1.79,K13039,,comE,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,5,,2,decarboxylation,,,R05774,4.1.1.79,K24393,,comDE,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,6,,1,phosphorylation and sulfite release,,,R05651,2.3.3.15,K03852,,xsc,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,6,,2,phosphorylation and sulfite release,,,,,xsc_align,,xsc_hmm,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,7,,1,dephosphorylation and activation with CoA,,,R00230,2.3.1.8,K00625,,pta,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,7,,2,dephosphorylation and activation with CoA,,,R00230,2.3.1.8,K13788,,pta2,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,7,,3,dephosphorylation and activation with CoA,,,R00230,2.3.1.8,K15024,,pduL,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,8,,1,,,,R02619,2.6.1.1,K00812,,aspB,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,8,,2,,,,R02619,2.6.1.1,K00813,,aspC,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,8,,3,,,,R02619,2.6.1.1,K11358,,yhdR,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,8,,4,,,,R02619,2.6.1.1,K14454,,got1,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,8,,5,,,,R02619,2.6.1.1,K14455,,got2,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,8,,6,,,,R05651,2.6.1.1,K00811,,asp5,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,8,,7,,,,R05651,2.6.1.1,K15849,,pat,,,,,,,,,,,,
48,Sulfolactate,Sulfolactate degradation,,,9,,1,hydrolysis to form ammonia,,,R07634,4.4.1.25,K17950,,cuyA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sulfolactate,Sulfolactate Transport,,,1,,1,,,,,,NA,,NA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,1,,1,,,,R07137,1.1.1.338,K16844,,comC,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,2,,1,,,,R07633,4.4.1.24,K16845,,suyA,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,2,,2,,,,R07633,4.4.1.24,K16846,,suyB,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,3,,1,decarboxylation,,,R05774,4.1.1.79,K06034,,comD,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,3,,2,decarboxylation,,,R05774,4.1.1.79,K13039,,comE,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,3,,3,decarboxylation,,,R05774,4.1.1.79,K24393,,comDE,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,4,,1,phosphorylation and sulfite release,,,R05651,2.3.3.15,K03852,,xsc,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,4,,2,,,,,,xsc_align,,xsc_hmm,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,5,,1,dephosphorylation and activation with CoA,,,R00230,2.3.1.8,K00625,,pta1,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,5,,2,dephosphorylation and activation with CoA,,,R00230,2.3.1.8,K04020,,eutD,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,5,,3,dephosphorylation and activation with CoA,,,R00230,2.3.1.8,K13788,,pta2,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,5,,4,dephosphorylation and activation with CoA,,,R00230,2.3.1.8,K15024,,pduL,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,6,,1,amination,,,R02619,2.6.1.1,K00811,,asp5,,,,,,,,,,,,
50,Sulfopyruvate,Sulfopyruvate Degradation,,,6,,2,amination,,,R02619,2.6.1.1,K00812,,aspB,,,,,,,,,,,,
